gene,sites,T,RELAX_K,BUSTED_prop_sites_in_omega3,BUSTED_omega3,positive_sites,diff_sites,negative_sites,BUSTED_pval,RELAX_overall_pval,N
capsid_protein_C,100,0.696514151709309,"{'3I': 1, '3II': 0.7659919412871404, '3III': 0.9293665804821019}",0.3584545310633206,68.79749487789258,0,0,37,0.4956967141895981,0.6627814963654834,178
nonstructural_protein_NS2B,130,1.1853343424805223,"{'3I': 1, '3II': 8.602702439292905, '3III': 0.838938237236124}",0.0,3.119517011661948,0,0,89,0.5,0.1501278724736751,322
nonstructural_protein_NS4A,127,1.3160377240150798,"{'3I': 1, '3II': 0.9000264911304329, '3III': 1.048981694513158}",0.0,1.002329711350389,0,0,80,0.5,0.5063520680461581,317
membrane_glycoprotein_precursor_prM,166,1.2476637527772558,"{'3I': 1, '3II': 0.7615127519957623, '3III': 1.008999149064075}",0.0,1.00156897255533,0,0,109,0.5,0.02643670590524239,366
nonstructural_protein_NS2A,218,1.4655827131505808,"{'3I': 1, '3II': 1.021604596483228, '3III': 0.896547776545792}",0.0,1.001563985993738,0,0,143,0.5,0.28622800790338,512
nonstructural_protein_NS4B,248,1.3940780661299013,"{'3I': 1, '3II': 0.8210521658466313, '3III': 0.8075887437568391}",0.995376603015585,1,0,0,189,0.5,0.1615982530130536,520
nonstructural_protein_NS3,619,0.8716760852271416,"{'3I': 1, '3II': 1.120338743944965, '3III': 1.019649250026898}",0.0,1.002206656670419,0,0,295,0.5,0.3282610140372904,429
nonstructural_protein_NS1,352,1.4483850855798506,"{'3I': 1, '3II': 0.9893885039506707, '3III': 0.9155940370128021}",0.1332764293879283,8.365727285765121,0,0,247,0.120295023435465,0.6508539963835069,633
RNA-dependent_RNA_polymerase_NS5,900,0.8466949102479526,"{'3I': 1, '3II': 0.9022974872559303, '3III': 0.8705494770593591}",0.0,4.462732171782491,0,0,367,0.5,0.2061474977092943,437
envelope_protein_E,493,2.4795146930893526,"{'3I': 1, '3II': 0.970136667797983, '3III': 0.9269938905594305}",0.678411883803329,1,1,0,418,0.5,0.2528567275477562,1526
