gene,BUSTED_pval,BUSTED_prop_sites_in_omega3,T,diff_sites,sites,RELAX_overall_pval,positive_sites,negative_sites,N,BUSTED_omega3,comparison_group,RELAX_K
capsid_protein_C,0.5,0.0,0.582632600302289,0,99,0.0611809299932358,0,13,135,3.2520586742645,4I,1.0
capsid_protein_C,0.5,0.0,0.582632600302289,0,99,0.0611809299932358,0,13,135,3.2520586742645,4II,0.6655944125208542
membrane_glycoprotein_precursor_prM,0.5,0.0,1.16639982205711,0,166,0.0007511433373139,2,113,271,1.007022081020494,4I,1.0
membrane_glycoprotein_precursor_prM,0.5,0.0,1.16639982205711,0,166,0.0007511433373139,2,113,271,1.007022081020494,4II,1.52043082882306
nonstructural_protein_NS4A,0.5,0.0,1.1464248415686984,0,127,0.9337601927434148,0,86,230,2.401624994826264,4I,1.0
nonstructural_protein_NS4A,0.5,0.0,1.1464248415686984,0,127,0.9337601927434148,0,86,230,2.401624994826264,4II,0.9904166161820603
nonstructural_protein_NS2B,0.5,0.0,1.033520329856427,0,130,0.3200891486328057,0,77,234,2.85177022100675,4I,1.0
nonstructural_protein_NS2B,0.5,0.0,1.033520329856427,0,130,0.3200891486328057,0,77,234,2.85177022100675,4II,1.138111108958735
nonstructural_protein_NS2A,0.4872722933309676,0.3394447683504308,1.1991260907773056,0,218,0.4366465053777036,0,117,362,3.442833063842994,4I,1.0
nonstructural_protein_NS2A,0.4872722933309676,0.3394447683504308,1.1991260907773056,0,218,0.4366465053777036,0,117,362,3.442833063842994,4II,0.9376933853186259
nonstructural_protein_NS4B,0.4712823590911018,0.1479956861823823,1.0702561348773243,0,245,0.5150940310786642,0,161,352,3.40937810625795,4I,1.0
nonstructural_protein_NS4B,0.4712823590911018,0.1479956861823823,1.0702561348773243,0,245,0.5150940310786642,0,161,352,3.40937810625795,4II,0.8795789481684627
nonstructural_protein_NS1,0.5,0.0,1.1868756055386211,0,352,0.6121548441885003,0,201,428,1.001985774207543,4I,1.0
nonstructural_protein_NS1,0.5,0.0,1.1868756055386211,0,352,0.6121548441885003,0,201,428,1.001985774207543,4II,1.036252306944683
RNA-dependent_RNA_polymerase_NS5,0.5,0.0,0.7662559269177099,0,900,0.3196158448491757,0,253,374,1.002330882617735,4I,1.0
RNA-dependent_RNA_polymerase_NS5,0.5,0.0,0.7662559269177099,0,900,0.3196158448491757,0,253,374,1.002330882617735,4II,0.9131278045930736
nonstructural_protein_NS3,0.5,0.0,1.1908702172391967,0,618,0.0225032829110706,0,418,579,4.192315720476224,4I,1.0
nonstructural_protein_NS3,0.5,0.0,1.1908702172391967,0,618,0.0225032829110706,0,418,579,4.192315720476224,4II,1.133842799768015
envelope_protein_E,0.5,0.0,1.9341141340708023,0,495,0.0251703923705801,2,407,977,1.002318291601398,4I,1.0
envelope_protein_E,0.5,0.0,1.9341141340708023,0,495,0.0251703923705801,2,407,977,1.002318291601398,4II,1.103007689517421
