gene,comparison_group,group_T,group_aa_conserved,group_dN/dS,group_N
capsid_protein_C,4I,0.310235086059928,2,0.06193854128220367,72
capsid_protein_C,4II,0.25623024627016844,2,0.1338669642209757,55
membrane_glycoprotein_precursor_prM,4I,0.7472713118733855,4,0.05001780071021054,180
membrane_glycoprotein_precursor_prM,4II,0.40110976576715385,4,0.05164891410716056,91
nonstructural_protein_NS4A,4I,0.6528876283982574,1,0.04562416343904758,143
nonstructural_protein_NS4A,4II,0.46882422988379013,1,0.04588032345931115,82
nonstructural_protein_NS2B,4I,0.5311981555731555,6,0.07110268262356306,130
nonstructural_protein_NS2B,4II,0.3926579000088055,6,0.04117734142606038,78
nonstructural_protein_NS2A,4I,0.6805599225180401,0,0.07979497754456405,233
nonstructural_protein_NS2A,4II,0.4504795622511824,0,0.09224733902418593,107
nonstructural_protein_NS4B,4II,0.3751964210001456,0,0.03944473211576686,110
nonstructural_protein_NS4B,4I,0.5958318948089353,0,0.03006651196083666,221
nonstructural_protein_NS1,4II,0.4211908172902614,0,0.06537231980183057,128
nonstructural_protein_NS1,4I,0.7083668565474224,0,0.07337864656738934,284
RNA-dependent_RNA_polymerase_NS5,4I,0.4413767943166734,0,0.05378143030357549,258
RNA-dependent_RNA_polymerase_NS5,4II,0.2792051975386603,0,0.06094559276908473,112
nonstructural_protein_NS3,4I,0.6839550715543755,0,0.03642864225866206,384
nonstructural_protein_NS3,4II,0.45313736461877735,0,0.02347754382118774,181
envelope_protein_E,4II,0.856077918905334,0,0.04419231104852056,407
envelope_protein_E,4I,1.029094840585763,0,0.06083338156123714,564
