gene,BUSTED_omega3,negative_sites,sites,RELAX_K,T,N,RELAX_overall_pval,positive_sites,diff_sites,BUSTED_pval,BUSTED_prop_sites_in_omega3
capsid_protein_C,1.138894253040093,41,100,"{'1I': 1, '1III': 1.843074899688306, '1IV': 0.8135808302417646, '1V': 0.9574784338918374}",1.433795404273314,368,0.211205322382176,0,0,0.5,0.0
nonstructural_protein_NS4B,3.195515687750873,147,249,"{'1I': 1, '1III': 17.40188932687138, '1IV': 0.9099804041041718, '1V': 0.7959557996728187}",0.8835784412395797,296,0.1844909426286234,0,0,0.5,0.0
nonstructural_protein_NS4A,1.001407736821013,107,127,"{'1I': 1, '1III': 1.058774278815906, '1IV': 0.9702360606534264, '1V': 1.074435602656213}",2.525241081046009,673,0.8647615871375374,0,0,0.5,0.0
nonstructural_protein_NS2B,1.00145356987462,114,130,"{'1I': 1, '1III': 1.376576865908393, '1IV': 1.176905035618329, '1V': 0.8357390473729055, '1VII': 1.076019072767128}",2.6179103812214626,672,0.0116597882413324,0,0,0.5,0.0
membrane_glycoprotein_precursor_prM,1,129,166,"{'1I': 1, '1III': 1.363738348224479, '1IV': 1.187722010606453, '1V': 1.074269982994852, '1VII': 12.97711501239443}",2.629191362418208,790,0.193829727787608,0,0,0.5,5.029964858083237
nonstructural_protein_NS2A,26.26395121890625,165,218,"{'1I': 1, '1III': 1.381461717715703, '1IV': 1.359279249654321, '1V': 1.070830645130044, '1VII': 1.30304736945831}",3.171282036528797,1209,0.03742270595796748,0,0,0.2451678457350223,0.02105239123342444
nonstructural_protein_NS1,1.028965047318714,297,352,"{'1I': 1, '1III': 1.011848179118221, '1IV': 0.966883821676346, '1V': 1.10627841410778, '1VII': 1.207960220864986}",3.057045959781957,1555,0.1632636395300496,0,0,0.5,2.969912857711721
nonstructural_protein_NS3,1.154976669194789,548,619,"{'1I': 1, '1III': 0.9778634868207784, '1IV': 1.085510043635985, '1V': 0.9708955374843828, '1VII': 0.9582599877913556}",2.876054385492846,2090,0.6753764469762223,3,1,0.4738343907751911,1.525610653540458
RNA-dependent_RNA_polymerase_NS5,1,763,899,"{'1I': 1, '1III': 1.116171902640195, '1IV': 1.222897746436585, '1V': 1.050896791052077, '1VII': 1.503855457436447}",3.04054979640882,2472,0.001881447634602962,1,1,0.5,1.385839573465693
envelope_protein_E,2984.7697476824,461,495,"{'1I': 1, '1III': 0.963912303866955, '1IV': 1.199420267626658, '1V': 1.1313224415413, '1VII': 1.166638255066657}",4.712870419936375,3188,2.632396199464537e-06,4,1,0.4929527532481134,1.9936694495795952e-05
