gene,BUSTED_omega3,BUSTED_pval,diff_sites,BUSTED_prop_sites_in_omega3,negative_sites,RELAX_overall_pval,positive_sites,T,RELAX_K,N,sites
capsid_protein_C,1.017153597555343,0.5,0,0.0,58,0.07970508362271433,0,1.552284498830115,"{'2II': 1, '2III': 0.8599106521278429, '2V': 10.40037101449078}",394,100
nonstructural_protein_NS4A,3.085564833616673,0.5,0,0.0,113,0.001253101679845714,0,2.908940956393805,"{'2I': 1, '2II': 0.8579315606678678, '2III': 0.4290857690561942, '2V': 50}",721,127
nonstructural_protein_NS2B,1,0.5,0,0.2936899309497192,113,0.6278414177286702,1,2.5578934634132486,"{'2I': 1, '2II': 1.214620421531326, '2III': 1.00424846382732, '2V': 1.323254082171922}",627,130
membrane_glycoprotein_precursor_prM,1.002804727740728,0.5,0,6.10289543053108,132,0.3728778332180733,0,2.688802340722229,"{'2I': 1, '2II': 1.078367795713725, '2III': 1.178946274372735, '2V': 1.250136954924553}",780,166
nonstructural_protein_NS2A,112.9079351301236,0.2003947209477254,0,0.01728101861261178,163,0.4749783325326566,2,2.1992904692343536,"{'2II': 1, '2III': 0.9187149024228248, '2V': 0.9624326277058313}",630,218
nonstructural_protein_NS4B,2.400923878362242,0.5,0,0.0,219,0.6179009205190376,3,2.8071880969991514,"{'2I': 1, '2II': 0.872210460389884, '2III': 0.9220171329022283, '2V': 0.9034705176822357}",1097,248
nonstructural_protein_NS1,1,0.5,2,1.071635563875673,290,0.2279444161858244,0,2.990368985686828,"{'2I': 1, '2II': 0.6681872743068317, '2III': 0.6930979145920378, '2V': 2.57511456050038}",1403,352
nonstructural_protein_NS3,1.014109491562677,0.5,2,0.0,555,0.07369114471187,2,2.9916572500144447,"{'2I': 1.083757665528399, '2II': 1, '2III': 1.070302241964673, '2V': 1.28625805887171}",1992,618
envelope_protein_E,17.98563817530159,0.01176090888960168,0,0.06033058476939216,455,1.093601675461464e-05,2,4.627405152383541,"{'2I': 1, '2II': 3.111699733158615, '2III': 0.7738649028654441, '2IV': 0.9379893537817688, '2V': 1.127481891434572}",2864,495
RNA-dependent_RNA_polymerase_NS5,1.074805064267967,0.4634140005650715,0,5.586017733089775,767,0.004856411553006867,6,3.1573057846521895,"{'2I': 1, '2II': 0.9277972078246178, '2III': 0.9506284035967689, '2V': 1.059313257635426}",2261,900
