gene,comparison_group,group_N,group_aa_conserved,group_dN/dS,group_T
capsid_protein_C,3II,67,1,0.06371237451575948,0.22718924700073165
capsid_protein_C,3III,59,1,0.08132195751378113,0.2028989470905204
capsid_protein_C,Nuisance,571,0,,1.498858371336819
capsid_protein_C,3V,1,1,0,0.009662935735993755
capsid_protein_C,3I,36,1,0.1116247652498771,0.1910316543918829
nonstructural_protein_NS4A,3II,105,0,0.06430324404847614,0.3353179447747772
nonstructural_protein_NS4A,3III,150,0,0.04262758150226745,0.5111888060321544
nonstructural_protein_NS4A,Nuisance,885,0,,2.571601974662806
nonstructural_protein_NS4A,3V,1,0,0,0.01231059964026643
nonstructural_protein_NS4A,3I,49,0,0.04828969444044205,0.27937902578827495
membrane_glycoprotein_precursor_prM,3II,135,0,0.0740753262461488,0.35396713538625396
membrane_glycoprotein_precursor_prM,3III,170,0,0.03235667438904142,0.49812645966273694
membrane_glycoprotein_precursor_prM,Nuisance,989,0,,2.3258274941720756
membrane_glycoprotein_precursor_prM,3V,1,0,0,0.009549193208947098
membrane_glycoprotein_precursor_prM,3I,54,0,0.03375907513862503,0.27055986242852054
nonstructural_protein_NS2B,3II,96,0,0.01503620664818307,0.3042067350487341
nonstructural_protein_NS2B,3III,164,0,0.04292323628952704,0.5380544321737445
nonstructural_protein_NS2B,Nuisance,907,0,,2.5193816233016824
nonstructural_protein_NS2B,3V,1,0,0,0.01307917707039315
nonstructural_protein_NS2B,3I,44,0,0.03100437360259674,0.2301625432897222
nonstructural_protein_NS2A,3II,154,0,0.08192505117189591,0.35555389577683644
nonstructural_protein_NS2A,3III,266,0,0.1044414085215641,0.6678522605864725
nonstructural_protein_NS2A,Nuisance,1330,0,,3.0313575108848054
nonstructural_protein_NS2A,3V,1,0,0.09735329248133279,0.01621762503873502
nonstructural_protein_NS2A,3I,68,0,0.08182459044021165,0.2890445815375792
nonstructural_protein_NS4B,3II,177,1,0.02501856487530303,0.3244257210864608
nonstructural_protein_NS4B,3III,262,1,0.02674099512979642,0.5912267663113965
nonstructural_protein_NS4B,Nuisance,1247,0,,2.4103267906850405
nonstructural_protein_NS4B,3V,2,1,0.08680695931656143,0.014443016760759621
nonstructural_protein_NS4B,3I,66,1,0.01482780247632174,0.2485265490522082
nonstructural_protein_NS3,Nuisance,874,0,,1.1625091028696137
nonstructural_protein_NS3,3II,194,9,0.02926477158567794,0.2988889322221039
nonstructural_protein_NS3,3III,184,9,0.04008759278009353,0.27033158104671906
nonstructural_protein_NS3,3I,45,9,0.04293650074505785,0.15785050949645402
nonstructural_protein_NS1,3II,207,2,0.06351112687673068,0.37871493160100944
nonstructural_protein_NS1,3III,318,2,0.07911358675272093,0.6100889351565634
nonstructural_protein_NS1,Nuisance,1514,0,,2.3891191495930113
nonstructural_protein_NS1,3V,1,2,0.1716759218742554,0.01285506992826682
nonstructural_protein_NS1,3I,89,2,0.05766973049647201,0.2856994850552864
RNA-dependent_RNA_polymerase_NS5,Nuisance,831,0,,1.2344366841656278
RNA-dependent_RNA_polymerase_NS5,3II,131,3,0.06197665824780325,0.23345579911533507
RNA-dependent_RNA_polymerase_NS5,3III,237,3,0.07004835559092093,0.2950339650260751
RNA-dependent_RNA_polymerase_NS5,3I,54,3,0.04714472130418328,0.15363734817938518
envelope_protein_E,3II,417,0,0.05972152756842465,0.6215726639514288
envelope_protein_E,3III,641,0,0.06339690317592135,0.8745704887084477
envelope_protein_E,Nuisance,3161,0,,4.6621793199451025
envelope_protein_E,3V,2,0,0.1195838753819095,0.013534143589503715
envelope_protein_E,3I,448,0,0.05237469593216466,0.7992656778036699
